slot_idx,day,date,time,timestamp,v_real_mo,u_static_mo,u_milp_mo,u_oracle_mo,gain_milp_pct,regret_mo,mae_prediction_mo,milp_solve_s,oracle_solve_s
1,J1,2013-11-12,01:00,1384214400.0,525445.1,795.4,0.0,0.0,100.0,0.0,61.64,0.404,0.35
2,J1,2013-11-12,01:30,1384216200.0,580432.2,0.0,0.0,0.0,0.0,0.0,77.77,0.427,0.409
3,J1,2013-11-12,02:00,1384218000.0,472351.4,0.0,0.0,0.0,0.0,0.0,57.5,0.391,0.335
4,J1,2013-11-12,02:30,1384219800.0,443609.3,0.0,0.0,0.0,0.0,0.0,55.81,0.372,0.331
5,J1,2013-11-12,03:00,1384221600.0,427609.3,0.0,0.0,0.0,0.0,0.0,54.05,0.382,0.342
6,J1,2013-11-12,03:30,1384223400.0,407600.3,0.0,0.0,0.0,0.0,0.0,50.69,0.401,0.274
7,J1,2013-11-12,04:00,1384225200.0,389254.3,0.0,0.0,0.0,0.0,0.0,54.81,0.347,0.332
8,J1,2013-11-12,04:30,1384227000.0,374447.3,0.0,0.0,0.0,0.0,0.0,66.18,0.35,0.366
9,J1,2013-11-12,05:00,1384228800.0,372411.8,0.0,0.0,0.0,0.0,0.0,84.38,0.389,0.323
10,J1,2013-11-12,05:30,1384230600.0,382511.4,0.0,0.0,0.0,0.0,0.0,121.29,0.364,0.348
11,J1,2013-11-12,06:00,1384232400.0,400656.5,0.0,0.0,0.0,0.0,0.0,257.49,0.412,0.352
12,J1,2013-11-12,06:30,1384234200.0,451621.7,0.0,0.0,0.0,0.0,0.0,375.82,0.452,0.367
13,J1,2013-11-12,07:00,1384236000.0,558621.3,0.0,0.0,0.0,0.0,0.0,455.08,0.622,0.292
14,J1,2013-11-12,07:30,1384237800.0,714158.0,2938.4,512.6,0.0,82.55,512.64,523.91,0.882,0.387
15,J1,2013-11-12,08:00,1384239600.0,890800.2,26842.9,5617.4,1991.7,79.07,3625.71,410.36,0.593,0.544
16,J1,2013-11-12,08:30,1384241400.0,1034352.5,90026.0,49303.4,40291.6,45.23,9011.73,297.19,0.735,0.574
17,J1,2013-11-12,09:00,1384243200.0,1116339.7,131689.7,90317.3,84554.3,31.42,5763.0,237.57,0.674,0.541
18,J1,2013-11-12,09:30,1384245000.0,1164547.4,165721.9,124412.3,120113.5,24.93,4298.85,205.0,0.593,0.712
19,J1,2013-11-12,10:00,1384246800.0,1193757.6,196292.0,152612.7,148882.5,22.25,3730.26,191.63,0.763,0.777
20,J1,2013-11-12,10:30,1384248600.0,1229527.4,220691.5,176963.2,172840.4,19.81,4122.83,165.75,0.602,0.565
21,J1,2013-11-12,11:00,1384250400.0,1252944.7,240937.4,196586.9,193305.3,18.41,3281.66,166.09,0.63,0.533
22,J1,2013-11-12,11:30,1384252200.0,1270363.5,243745.1,199685.7,196004.3,18.08,3681.4,167.72,0.618,0.684
23,J1,2013-11-12,12:00,1384254000.0,1292007.4,258425.6,214349.0,210875.5,17.06,3473.51,164.27,0.638,0.567
24,J1,2013-11-12,12:30,1384255800.0,1308478.8,274741.3,227886.9,225015.7,17.05,2871.21,157.83,0.673,0.735
25,J1,2013-11-12,13:00,1384257600.0,1367510.2,305576.2,257134.8,255093.4,15.85,2041.47,133.54,0.691,0.71
26,J1,2013-11-12,13:30,1384259400.0,1381452.1,314331.7,262121.0,260686.1,16.61,1434.92,123.3,0.743,0.646
27,J1,2013-11-12,14:00,1384261200.0,1366081.8,299748.3,246981.4,245888.0,17.6,1093.33,117.03,0.708,0.536
28,J1,2013-11-12,14:30,1384263000.0,1330484.8,279495.0,226858.0,226066.5,18.83,791.52,121.59,0.628,0.547
29,J1,2013-11-12,15:00,1384264800.0,1282016.5,250950.2,198696.6,197254.3,20.82,1442.3,126.2,0.784,0.55
30,J1,2013-11-12,15:30,1384266600.0,1251184.8,235259.1,188146.9,186925.2,20.03,1221.71,126.61,0.667,0.566
31,J1,2013-11-12,16:00,1384268400.0,1261982.2,240660.7,191301.4,189501.3,20.51,1800.1,118.42,0.663,0.668
32,J1,2013-11-12,16:30,1384270200.0,1235037.7,219677.0,171507.1,170480.9,21.93,1026.17,120.99,0.566,0.533
33,J1,2013-11-12,17:00,1384272000.0,1238765.5,221370.1,170323.5,169419.1,23.06,904.39,125.22,0.725,0.488
34,J1,2013-11-12,17:30,1384273800.0,1229428.0,202369.0,152066.0,151416.5,24.86,649.57,128.31,0.571,0.613
35,J1,2013-11-12,18:00,1384275600.0,1207330.2,183698.0,129372.7,128706.6,29.57,666.13,132.89,0.734,0.646
36,J1,2013-11-12,18:30,1384277400.0,1158366.7,146457.3,93391.6,92170.5,36.23,1221.14,132.06,0.877,0.548
37,J1,2013-11-12,19:00,1384279200.0,1096377.1,110753.3,57804.9,56625.7,47.81,1179.29,124.44,0.778,0.63
38,J1,2013-11-12,19:30,1384281000.0,1040308.6,79791.3,35218.4,33469.7,55.86,1748.72,119.34,1.249,0.557
39,J1,2013-11-12,20:00,1384282800.0,1001021.1,63080.1,23486.1,22872.8,62.77,613.29,105.9,0.896,0.974
40,J1,2013-11-12,20:30,1384284600.0,980953.8,51921.9,15378.4,14769.1,70.38,609.24,70.58,0.696,0.605
41,J1,2013-11-12,21:00,1384286400.0,946762.6,38869.5,7944.1,7601.4,79.56,342.79,69.69,0.716,0.618
42,J1,2013-11-12,21:30,1384288200.0,930547.1,37011.6,7936.2,6853.1,78.56,1083.11,68.33,0.623,0.626
43,J1,2013-11-12,22:00,1384290000.0,912551.0,34137.2,8206.2,7191.4,75.96,1014.8,58.8,0.64,0.629
44,J1,2013-11-12,22:30,1384291800.0,873686.6,25471.3,7610.9,6841.9,70.12,769.08,52.18,0.46,0.499
45,J1,2013-11-12,23:00,1384293600.0,844272.6,21432.3,5624.5,4882.0,73.76,742.48,68.46,0.441,0.533
46,J1,2013-11-12,23:30,1384295400.0,789643.3,16243.4,4536.3,2514.0,72.07,2022.32,83.37,0.559,0.497
47,J2,2013-11-13,00:00,1384297200.0,700397.7,5899.8,733.1,0.0,87.57,733.13,79.15,0.332,0.36
48,J2,2013-11-13,00:30,1384299000.0,626752.0,4318.9,663.8,0.0,84.63,663.81,76.01,0.36,0.35
